comment_id,label
UgzxQPXF8agxljbilTF4AaABAg,Relatable
Ugyo9ow1Ib7_T3W5-EJ4AaABAg,Relatable
UgxAQoHHurREtGMMR8F4AaABAg,Neutral
UgwuzIW-_5LUXJZ6CnF4AaABAg,Neutral
UgwJ1S0maB1g6uAX6sB4AaABAg,Relatable
UgwgaMWcX6_gbYJdXwd4AaABAg,Neutral
Ugx9dsMbiev5NJn4Ufh4AaABAg,Neutral
Ugyzwo9I_L4DmAOkmdZ4AaABAg,Neutral
Ugx3Ke84QqjEOgIeuG14AaABAg,Relatable
UgxjaJCjqa9eJDW3r0x4AaABAg,Neutral
UgzCcfcVJl3ozRSSV-N4AaABAg,Neutral
UgyWUiEZD4385LYsIfN4AaABAg,Neutral
UgwOnLc3U8Lz-tWfItF4AaABAg,Neutral
UgxQSZ_7TSPmdJ2_v-54AaABAg,Relatable
UgyOQFtJ0FxXnuZ6k7V4AaABAg,Neutral
UgwYvReXuWbiu6tGrz14AaABAg,Relatable
UgzsWov1QyzRqm-4ENp4AaABAg,Relatable
Ugzpn2VxLOPK1g-taDN4AaABAg,Relatable
Ugy8bKnV6A0_dweJ40l4AaABAg,Neutral
UgwH7DrSNhQbj-xh-ol4AaABAg,Relatable
Ugz8dAuertBG80J5fFl4AaABAg,Neutral
Ugw1kP451g84lGtM8nR4AaABAg,Relatable
UgzzsB8wmniW1eu4HgZ4AaABAg,Neutral
UgxQbuL9RiENaRqxNsN4AaABAg,Neutral
Ugxt7WzzPs8Get6XWnB4AaABAg,Relatable
Ugx9-UmHMYgP0OGGRFR4AaABAg,Neutral
UgxXls5ZXFacpicXKsF4AaABAg,Relatable
UgyieFmqqAbzToYDwFJ4AaABAg,Relatable
Ugx0-iBLJjGLDuUnZo54AaABAg,Relatable
UgzRWBVXJX7KZeg6Ma94AaABAg,Neutral
UgzIhSlaoRtnHPbE0ip4AaABAg,Relatable
UgyJCJnfPKqCIgjjO794AaABAg,Relatable
Ugzc_5N1aNJlSITznLJ4AaABAg,Relatable
UgycKRtNXIftx9p4dI54AaABAg,Neutral
Ugx1lfInCp3l15eZ0zl4AaABAg,Relatable
UgyGkdW3BztBrkHUBzt4AaABAg,Neutral
UgzuVaR8SA6t26hhm_d4AaABAg,Neutral
Ugzpw_GBhG9xF7GCDbt4AaABAg,Neutral
UgwSFfsVD17TbYB3a0d4AaABAg,Neutral
Ugw88N6pvjvYcnOIffx4AaABAg,Relatable
UgzVhpobQQWID5Ai8eZ4AaABAg,Neutral
UgyB9oBzzx3IT96NcL14AaABAg,Relatable
UgwEZ7muRcj4LwzUEHN4AaABAg,Relatable
Ugyzhy5c4CxkqVgWDm14AaABAg,Relatable
UgyY96Hg98iNwHqGVcF4AaABAg,Neutral
UgwFAnmmNHagZc17WSF4AaABAg,Neutral
UgyhBRkYOJaC8PXhqfx4AaABAg,Neutral
Ugwde3zXk7jvtrO7HVN4AaABAg,Relatable
UgxBkmGT94uNbY0oMct4AaABAg,Neutral
UgyaQH6R7HFwFBxmgGt4AaABAg,Relatable
Ugy0wm3JHd5EiCaTJ3p4AaABAg,Relatable
UgwgGIa2djpTRudniDp4AaABAg,Relatable
Ugx0_juttAxffFCGV5R4AaABAg,Neutral
UgyPZorHEcrSct4Bh094AaABAg,Relatable
UgyFB3kfgHBnMArp01d4AaABAg,Relatable
Ugy2ffTvjBdivfItjuN4AaABAg,Neutral
UgwQdF5a3ZVCQaoJgRZ4AaABAg,Relatable
Ugyv8hrMMRH8lbQoDxp4AaABAg,Relatable
UgzDhwbjtR_KA5fn74V4AaABAg,Neutral
Ugw6gUM7owFYsdk-mVl4AaABAg,Neutral
